jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|tpParams|pamLength,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='avg_err':steps=[1]:window=1000:field=word, 
2028,  254829,  completed,  eof,  2014-05-23 20:14:29,  2014-05-23 20:14:34,  5,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.05015,  107,  0.05005,  11,  14,  3,  0.05015,  0.849056603774, 
2028,  254837,  completed,  eof,  2014-05-23 20:14:29,  2014-05-23 20:14:35,  6,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.1,  107,  0.0001,  9,  12,  1,  0.1,  0.839622641509, 
2028,  254839,  completed,  eof,  2014-05-23 20:14:29,  2014-05-23 20:14:34,  5,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.0003,  107,  0.1,  12,  16,  5,  0.0003,  0.820754716981, 
2028,  254882,  completed,  eof,  2014-05-23 20:14:31,  2014-05-23 20:14:47,  16,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.075075,  107,  0.025075,  10,  13,  2,  0.075075,  0.830188679245, 
2028,  254886,  completed,  eof,  2014-05-23 20:14:31,  2014-05-23 20:14:49,  18,  modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|spParams|synPermInactiveDec_0.025225,  107,  0.075025,  11,  15,  4,  0.025225,  0.858490566038, 
2028,  254914,  completed,  eof,  2014-05-23 20:14:34,  2014-05-23 20:14:49,  15,  modelParams|clParams|alpha_0.095005.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.005285,  107,  0.095005,  12,  16,  5,  0.005285,  0.858490566038, 
2028,  254915,  completed,  eof,  2014-05-23 20:14:35,  2014-05-23 20:14:48,  13,  modelParams|clParams|alpha_0.0955047148893.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.0146608434444,  107,  0.0955047148893,  12,  16,  5,  0.0146608434444,  0.858490566038, 
2028,  254916,  completed,  eof,  2014-05-23 20:14:35,  2014-05-23 20:14:47,  12,  modelParams|clParams|alpha_0.0760244297787.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_4.modelParams|spParams|synPermInactiveDec_0.0140666868888,  107,  0.0760244297787,  12,  16,  4,  0.0140666868888,  0.858490566038, 
2028,  254917,  completed,  eof,  2014-05-23 20:14:49,  2014-05-23 20:14:54,  5,  modelParams|clParams|alpha_0.0985121546309.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.00272391053103,  107,  0.0985121546309,  12,  16,  5,  0.00272391053103,  0.839622641509, 
2028,  254918,  completed,  eof,  2014-05-23 20:14:49,  2014-05-23 20:14:56,  7,  modelParams|clParams|alpha_0.080769572334.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.00937876516661,  107,  0.080769572334,  12,  16,  5,  0.00937876516661,  0.858490566038, 
