jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|tpParams|pamLength,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='avg_err':steps=[1]:window=1000:field=word, 
1027,  6612,  completed,  error,  2014-05-07 23:36:53,  2014-05-07 23:36:56,  3,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.05015,  0,  0.05005,  11,  14,  3,  0.05015,  0.858585858586, 
1027,  6613,  completed,  error,  2014-05-07 23:36:53,  2014-05-07 23:36:56,  3,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.1,  0,  0.0001,  9,  12,  1,  0.1,  0.848484848485, 
1027,  6615,  completed,  error,  2014-05-07 23:36:53,  2014-05-07 23:36:57,  4,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.0003,  0,  0.1,  12,  16,  5,  0.0003,  0.828282828283, 
1027,  6635,  completed,  error,  2014-05-07 23:36:53,  2014-05-07 23:36:57,  4,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.075075,  0,  0.025075,  10,  13,  2,  0.075075,  0.838383838384, 
1027,  6676,  completed,  error,  2014-05-07 23:36:54,  2014-05-07 23:36:57,  3,  modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|spParams|synPermInactiveDec_0.025225,  0,  0.075025,  11,  15,  4,  0.025225,  0.868686868687, 
1027,  6707,  completed,  killed,  2014-05-07 23:36:56,  2014-05-07 23:37:00,  4,  modelParams|clParams|alpha_0.055045.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.055135,  100,  0.055045,  11,  14,  3,  0.055135,  0.858585858586, 
1027,  6708,  completed,  killed,  2014-05-07 23:36:57,  2014-05-07 23:37:00,  3,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.095015,  100,  0.0001,  9,  12,  1,  0.095015,  0.848484848485, 
1027,  6709,  completed,  killed,  2014-05-07 23:36:57,  2014-05-07 23:37:00,  3,  modelParams|clParams|alpha_0.02008.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.07009,  100,  0.02008,  10,  13,  2,  0.07009,  0.838383838384, 
1027,  6710,  completed,  error,  2014-05-07 23:36:57,  2014-05-07 23:37:00,  3,  modelParams|clParams|alpha_0.095005.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.005285,  0,  0.095005,  12,  16,  5,  0.005285,  0.868686868687, 
